101 05400003052-12772631307082347A094101                    PNC  Cathy's Cleaning Srvc        
5200CATHY'S CLEANING    INTERNAL DATA...52-1277263PPDAUTO-PYMNT130708130712   1054000030000001
627052001633003932426953     00000180003284           Elizabeth McKee         0000000000000001
6270521019570164034401       00000092003316           Scott Palmer            0000000000000002
6270550032011010050047264    00000183003409           April Calton            0000000000000003
6270540000305565014613       00000138003951           Sage Mumma              0000000000000004
6272550773702186402022       00000164005288           Melissa Varney          0000000000000005
6272550719811350642044       00000064005440           Ron Risdon              0000000000000006
6272550773700242502003       00000167005580           Luanne Erickson         0000000000000007
6270550032011085101484714    00000164006335           Norma Long              0000000000000008
6272550773701891192020       00000096007190           Mary Kelly              0000000000000009
627052001633003915105741     00000232007911           Jeffrey Sewell          0000000000000010
6272550773702489322020       00000180007932           Jeff Baldwin            0000000000000011
6270550033085152198312       00000128007951           Marcella Sheehan        0000000000000012
62705200011361087082         00000284007957           Maggie Costella         0000000000000013
6270550033085256054932       00000232008599           MaryLou Bleakley        0000000000000014
6270550032011001779880164    00000103008658           Sally LaBarre           0000000000000015
627052001633007076822171     00000077008709           Sue Kropp               0000000000000016
627255071981364003219        00000180008853           Eleanor McCart          0000000000000017
627052001633003922702603     00000128008879           Marie Reed              0000000000000018
6272560749740858746704       00000090008880           Joseph DeMattei         0000000000000019
627052000113116406209        00000232008995           Rebecca Forsythe        0000000000000020
627252076235937433200        00000128009123           Kathy Sullivan          0000000000000021
627052001633004469638747     00000180009176           Joann Altiero           0000000000000022
627052001633446017023197     00000361509216           Terri Hussman           0000000000000023
6270550032011010186417289    00000154009222           Peter Meyer             0000000000000024
627052001633007081676680     00000126009226           Aparna Nagaraju         0000000000000025
627052001633007072014087     00000412009229           MaryBeth Brizzolara     0000000000000026
62725507799800000500988105   00000180009256           Laurel Funk             0000000000000027
6270520016333932119943       00000128009258           Kevin Clark             0000000000000028
6270550032011010094083019    00000064009264           Susan Crabbin           0000000000000029
6270550032014370289667       00000245009265           Kathy Ten-Eyck          0000000000000030
6272520730180018885328       00000172509278           Anna Dipietrantonio     0000000000000031
6270311008696045417109       00000180009291           Stephanie Swonger       0000000000000032
6270530002191060477581502    00000093009308           Pam Chelden             0000000000000033
6270550027071000020485503    00000355009360           Amy Hilliard            0000000000000034
6270520001139844592072       00000225009377           Margaret Leming         0000000000000035
6272550773701893774040       00000219009388           Holly Carver            0000000000000036
6272550773701554342007       00000206009455           Dawn Larson             0000000000000037
6272550773702429472026       00000186009878           Jennifer Sabol          0000000000000038
6272550773701208164009       00000232009883           Cindy Drexler           0000000000000039
627314074269121519376        000001380010087          Michael O'Mara          0000000000000040
627052001633003936388466     000001320010090          Sree Murthy             0000000000000041
6270550033085152518953       000003490010259          Anna Rosenfeld          0000000000000042
627081000032354000063421     000001280010366          Michael Cantor          0000000000000043
6272550719810093278314       000000840010373          Susan Mack              0000000000000044
6272560749740429018716       000000770010491          Maureen Jackson         0000000000000045
627121202211440013567878     000002260010539          Julia Zick              0000000000000046
627314074269104603909        000001280010561          Dave Mock               0000000000000047
627081000032354004444318     000001670010592          Rachel Pugh             0000000000000048
6270540000305314036543       000002840010595          Jackie Brown            0000000000000049
6272550767537011039674       000000850010833          Linda McCabe            0000000000000050
8200000050067138911200000087590000000000000052-1277263                         054000030000001
9000001000001000000500671389112      875900           0                                       
9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
